136859;Thumb Up
68574;Swiping Right
6522;Swiping Down
42237;Thumb Down
118847;Pushing Hand Away
94060;Thumb Down
118250;Swiping Down
62818;Swiping Left
29589;Thumb Down
1338;Swiping Right
10179;Swiping Left
53863;Swiping Down
141659;Pushing Hand Away
57518;Pushing Hand Away
136366;Thumb Down
117892;Swiping Down
40869;Thumb Down
2720;Thumb Up
112513;Thumb Down
143778;Pushing Hand Away
40836;Swiping Down
71550;Thumb Down
118215;Thumb Down
55209;Pushing Hand Away
104639;Swiping Left
85923;Swiping Up
127712;Thumb Up
97582;Pushing Hand Away
79314;Swiping Down
50483;Thumb Down
22613;Thumb Up
111296;Swiping Up
18056;Swiping Up
129771;Pushing Hand Away
46260;Swiping Up
87642;Swiping Up
74438;Swiping Up
108964;Thumb Up
105791;Swiping Left
38482;Swiping Left
78394;Swiping Right
111880;Swiping Left
36494;Pushing Hand Away
73698;Pushing Hand Away
147456;Swiping Left
93110;Thumb Up
122765;Swiping Up
111299;Pushing Hand Away
136771;Thumb Up
75238;Swiping Left
39319;Swiping Left
136822;Swiping Down
52906;Swiping Right
12696;Swiping Down
113147;Swiping Left
52825;Thumb Up
20859;Pushing Hand Away
54856;Swiping Up
67863;Thumb Up
110800;Swiping Down
53151;Thumb Up
111679;Swiping Right
66147;Thumb Up
24918;Thumb Down
135294;Swiping Right
97230;Thumb Down
16198;Swiping Right
103305;Swiping Right
32596;Thumb Down
145771;Swiping Right
133268;Pushing Hand Away
99935;Pushing Hand Away
86146;Thumb Down
22459;Thumb Up
57662;Swiping Up
17752;Thumb Down
3578;Swiping Up
59807;Pushing Hand Away
113830;Thumb Down
111978;Pushing Hand Away
60762;Thumb Down
81053;Pushing Hand Away
48306;Thumb Up
102451;Thumb Up
36169;Thumb Up
15429;Swiping Left
18931;Thumb Up
22184;Thumb Down
19549;Pushing Hand Away
42054;Swiping Down
112036;Thumb Down
32754;Swiping Down
12877;Swiping Up
47086;Thumb Up
132650;Thumb Up
59208;Pushing Hand Away
41841;Swiping Down
121718;Thumb Down
73946;Pushing Hand Away
97683;Swiping Up
25100;Thumb Up
3452;Swiping Left
127843;Swiping Down
49469;Swiping Up
21598;Swiping Up
125940;Thumb Up
63130;Thumb Down
121154;Swiping Down
33366;Thumb Down
10922;Pushing Hand Away
10185;Thumb Up
73495;Swiping Left
25505;Swiping Up
31114;Pushing Hand Away
8671;Swiping Up
91312;Swiping Down
83531;Pushing Hand Away
100728;Pushing Hand Away
65499;Swiping Left
131313;Swiping Right
114470;Swiping Down
7170;Thumb Down
58609;Pushing Hand Away
80148;Swiping Right
47344;Thumb Up
146793;Swiping Left
64275;Swiping Up
51882;Swiping Left
97762;Thumb Down
84426;Swiping Down
33948;Pushing Hand Away
112475;Thumb Up
84764;Swiping Right
40388;Swiping Left
28030;Pushing Hand Away
126086;Thumb Down
31738;Swiping Right
128353;Thumb Up
96542;Thumb Down
27945;Swiping Right
18229;Thumb Down
51339;Pushing Hand Away
19105;Thumb Up
105716;Swiping Down
91465;Swiping Right
116498;Swiping Left
82435;Thumb Up
39817;Swiping Up
93486;Pushing Hand Away
136169;Swiping Down
20597;Swiping Right
83883;Pushing Hand Away
112499;Thumb Up
143053;Thumb Up
95854;Pushing Hand Away
50265;Swiping Right
25820;Thumb Down
95462;Thumb Up
2299;Pushing Hand Away
12937;Swiping Up
81651;Swiping Left
55721;Pushing Hand Away
5684;Swiping Down
143729;Swiping Left
57259;Swiping Up
119948;Swiping Left
105451;Thumb Down
111293;Thumb Down
69894;Swiping Right
10082;Swiping Up
108595;Thumb Up
49362;Pushing Hand Away
93303;Swiping Left
106490;Thumb Up
53303;Pushing Hand Away
125865;Pushing Hand Away
72465;Swiping Right
128609;Swiping Up
122157;Swiping Down
58382;Swiping Right
17157;Pushing Hand Away
61068;Thumb Up
141002;Thumb Up
2161;Swiping Up
38811;Swiping Down
39229;Swiping Down
132368;Swiping Up
84618;Swiping Up
110469;Swiping Left
138437;Swiping Down
144583;Swiping Left
13359;Thumb Up
46261;Pushing Hand Away
40680;Pushing Hand Away
38949;Swiping Right
34529;Thumb Down
63036;Swiping Left
70722;Swiping Down
76795;Swiping Down
142561;Thumb Up
143158;Swiping Left
80103;Thumb Up
137582;Swiping Right
53108;Swiping Left
97615;Pushing Hand Away
107685;Pushing Hand Away
27593;Swiping Right
4093;Swiping Up
146317;Swiping Right
14674;Swiping Right
71146;Swiping Up
91086;Swiping Left
136046;Swiping Up
145195;Thumb Up
108421;Thumb Down
116406;Thumb Down
80145;Thumb Up
45722;Pushing Hand Away
54964;Thumb Down
42484;Swiping Down
119370;Swiping Right
61814;Swiping Right
21160;Swiping Down
120138;Swiping Right
46463;Swiping Up
72679;Pushing Hand Away
109081;Thumb Down
90562;Swiping Left
25272;Swiping Up
141486;Pushing Hand Away
27115;Swiping Right
39584;Swiping Down
134464;Swiping Right
102132;Thumb Down
107241;Pushing Hand Away
31427;Swiping Left
6618;Pushing Hand Away
38290;Thumb Down
47375;Swiping Left
132131;Swiping Right
102232;Thumb Down
95179;Thumb Down
121003;Swiping Down
