143488;Swiping Left
114738;Swiping Left
73194;Doing other things
61087;Swiping Right
7318;Swiping Down
63971;Swiping Up
5830;Swiping Left
4555;Doing other things
70015;Swiping Left
84763;Swiping Right
45723;Doing other things
7552;Doing other things
138249;Swiping Down
99122;Swiping Up
143144;Doing other things
45685;Swiping Left
143268;Swiping Up
124745;Doing other things
63552;Swiping Left
103213;Swiping Right
132912;Swiping Right
116175;Swiping Down
57419;Swiping Right
114580;Swiping Up
128317;Doing other things
17953;Swiping Right
39502;Doing other things
134160;Swiping Left
128610;Swiping Down
30967;Swiping Right
130452;Doing other things
21498;Swiping Right
136988;Swiping Up
141402;Doing other things
13489;Doing other things
101099;Doing other things
68594;Swiping Right
143958;Doing other things
69329;Swiping Right
83526;Swiping Right
90058;Doing other things
83085;Doing other things
52793;Swiping Down
123019;Swiping Right
141619;Doing other things
75331;Swiping Left
40860;Swiping Up
100626;Swiping Left
140294;Swiping Right
14190;Swiping Up
41668;Doing other things
147373;Swiping Right
141539;Swiping Left
26363;Swiping Up
6316;Swiping Right
8167;Doing other things
101796;Swiping Right
86711;Swiping Left
130554;Swiping Down
65193;Swiping Left
72059;Swiping Right
130564;Swiping Left
32313;Swiping Left
58432;Swiping Right
23984;Doing other things
7945;Swiping Right
133730;Swiping Left
37097;Doing other things
10723;Swiping Left
1845;Doing other things
24114;Swiping Right
107624;Swiping Left
102877;Swiping Right
113183;Doing other things
72889;Swiping Down
134762;Swiping Left
133611;Doing other things
77355;Swiping Left
112396;Swiping Right
126130;Doing other things
122397;Swiping Down
82096;Swiping Left
123668;Swiping Up
43231;Doing other things
79835;Swiping Left
35435;Swiping Down
116748;Swiping Down
15919;Swiping Down
38248;Swiping Down
117896;Doing other things
50908;Doing other things
112345;Doing other things
120140;Swiping Left
110394;Doing other things
54801;Doing other things
39853;Swiping Up
20547;Swiping Left
18108;Swiping Up
101476;Swiping Right
126161;Swiping Left
138223;Doing other things
136182;Swiping Up
25903;Swiping Left
119415;Doing other things
129186;Swiping Left
13412;Swiping Down
122405;Swiping Left
90784;Swiping Right
61026;Swiping Up
48621;Swiping Down
144104;Doing other things
7348;Swiping Down
22432;Doing other things
126861;Swiping Up
31014;Swiping Left
101259;Doing other things
78060;Doing other things
145812;Doing other things
104737;Swiping Right
7949;Doing other things
79800;Swiping Left
57552;Doing other things
84561;Swiping Left
139751;Swiping Right
146693;Swiping Up
81651;Swiping Left
34606;Swiping Right
123064;Doing other things
2766;Swiping Up
99270;Swiping Right
141398;Swiping Left
123169;Swiping Left
112380;Doing other things
132576;Swiping Up
87031;Swiping Left
174;Swiping Left
30072;Doing other things
21296;Swiping Right
48257;Swiping Left
111751;Doing other things
89817;Swiping Down
113138;Swiping Down
73406;Swiping Down
8376;Swiping Up
87615;Doing other things
83118;Doing other things
68817;Doing other things
102350;Swiping Right
106593;Swiping Down
86789;Swiping Right
8057;Doing other things
43663;Doing other things
132131;Swiping Right
79713;Swiping Up
129838;Swiping Right
120387;Swiping Up
147593;Doing other things
118365;Swiping Down
23261;Swiping Up
127859;Swiping Down
117113;Doing other things
27798;Swiping Right
10015;Swiping Right
100032;Swiping Right
106196;Swiping Left
138782;Swiping Right
1093;Doing other things
139009;Doing other things
43191;Doing other things
95131;Doing other things
38651;Swiping Right
28126;Swiping Down
145420;Swiping Left
124940;Swiping Right
125535;Doing other things
34171;Swiping Right
141666;Swiping Up
40236;Swiping Up
14243;Swiping Right
131208;Doing other things
24780;Swiping Down
19275;Swiping Down
100708;Swiping Up
103120;Doing other things
7119;Doing other things
42490;Swiping Up
2991;Swiping Left
19942;Doing other things
49545;Doing other things
137208;Swiping Down
117424;Swiping Left
95612;Doing other things
128774;Swiping Down
135963;Swiping Left
105119;Swiping Right
81712;Doing other things
125121;Doing other things
85983;Doing other things
128628;Doing other things
77348;Swiping Right
84420;Doing other things
112398;Swiping Down
116127;Doing other things
136838;Swiping Left
75593;Doing other things
65216;Swiping Up
130939;Swiping Up
7172;Swiping Right
41070;Doing other things
144433;Swiping Up
26152;Swiping Down
141178;Doing other things
108839;Doing other things
56936;Swiping Up
140134;Doing other things
112403;Swiping Right
106568;Doing other things
78141;Doing other things
79037;Swiping Right
107595;Doing other things
28117;Doing other things
147463;Swiping Down
23941;Swiping Right
58996;Swiping Left
141742;Doing other things
82476;Swiping Down
100997;Doing other things
97437;Swiping Down
130687;Swiping Left
132934;Doing other things
113226;Swiping Up
28628;Swiping Up
20189;Doing other things
130578;Doing other things
131147;Swiping Down
110476;Swiping Up
84042;Doing other things
141110;Doing other things
130543;Swiping Left
137716;Doing other things
14511;Swiping Left
20144;Doing other things
115980;Swiping Up
105337;Swiping Right
53554;Swiping Right
84259;Swiping Left
44117;Swiping Down
87044;Swiping Right
18303;Swiping Right
96993;Doing other things
57612;Swiping Down
56172;Swiping Down
71395;Swiping Left
20680;Swiping Down
113036;Swiping Up
106229;Doing other things
41783;Swiping Down
21223;Swiping Right
139685;Doing other things
35083;Swiping Down
26905;Swiping Left
109360;Doing other things
53938;Doing other things
123161;Doing other things
76148;Doing other things
